170310076,1,SUBURBAN,2,41.7514,-87.713488,-6
170313103,1,SUBURBAN,2,41.965193,-87.876265,-6
170314002,1,SUBURBAN,2,41.855243,-87.75247,-6
170314201,1,SUBURBAN,2,42.139996,-87.799227,-6
171630010,2,SUBURBAN,2,38.612034,-90.160477,-6
171971011,1,RURAL,3,41.221537,-88.190967,-6
180630001,1,RURAL,3,39.876944,-86.473889,-5
180630002,1,SUBURBAN,2,39.863367,-86.470539,-5
180630003,1,SUBURBAN,2,39.880871,-86.54193,-5
180890022,1,URBAN AND CENTER CITY,1,41.60668,-87.304729,-6
180970073,1,URBAN AND CENTER CITY,1,39.789486,-86.06085,-5
181410015,1,URBAN AND CENTER CITY,1,41.696692,-86.214683,-5
181630012,1,URBAN AND CENTER CITY,1,38.021727,-87.569458,-6
191530030,1,URBAN AND CENTER CITY,1,41.603159,-93.643118,-6
191630015,1,URBAN AND CENTER CITY,1,41.530011,-90.587611,-6
201070002,1,RURAL,3,38.135882,-94.731988,-6
201730010,3,URBAN AND CENTER CITY,1,37.702066,-97.314847,-6
201910002,1,RURAL,3,37.47689,-97.366399,-6
202090021,1,URBAN AND CENTER CITY,1,39.117219,-94.635605,-6
210190017,1,SUBURBAN,2,38.45934,-82.64041,-5
210373002,1,RURAL,3,39.021881,-84.47445,-5
210590005,1,SUBURBAN,2,37.780776,-87.075307,-6
210670012,1,SUBURBAN,2,38.06503,-84.49761,-5
211111021,1,SUBURBAN,2,38.26355,-85.71025,-5
211170007,1,SUBURBAN,2,39.0725,-84.525,-5
211451024,1,SUBURBAN,2,37.05822,-88.57251,-6
212218001,2,RURAL,3,36.783889,-87.851944,-5
220050004,1,RURAL,3,30.233889,-90.968333,-6
220190008,1,RURAL,3,30.261667,-93.284167,-6
220330003,1,URBAN AND CENTER CITY,1,30.419763,-91.181996,-6
220330009,1,URBAN AND CENTER CITY,1,30.46198,-91.17922,-6
220330013,1,RURAL,3,30.700921,-91.056135,-6
220331001,1,RURAL,3,30.593978,-91.251943,-6
220470007,1,RURAL,3,30.4,-91.425,-6
220470009,1,RURAL,3,30.220556,-91.316111,-6
220470012,1,RURAL,3,30.206985,-91.129948,-6
220511001,1,SUBURBAN,2,30.043573,-90.275091,-6
220630002,1,RURAL,3,30.3125,-90.8125,-6
221210001,1,SUBURBAN,2,30.500643,-91.213556,-6
230031100,1,SUBURBAN,2,46.696431,-68.033006,-5
230090102,1,RURAL,3,44.351697,-68.22698,-5
240053001,2,SUBURBAN,2,39.310833,-76.474444,-5
240330030,1,SUBURBAN,2,39.055277,-76.878333,-5
245100040,2,URBAN AND CENTER CITY,1,39.297733,-76.604603,-5
250092006,1,URBAN AND CENTER CITY,1,42.474642,-70.970816,-5
250094004,1,SUBURBAN,2,42.790268,-70.80835,-5
250094004,2,SUBURBAN,2,42.790268,-70.80835,-5
250095005,1,SUBURBAN,2,42.770837,-71.10229,-5
250130008,1,SUBURBAN,2,42.19438,-72.555112,-5
250130016,1,URBAN AND CENTER CITY,1,42.108992,-72.590803,-5
250154002,1,RURAL,3,42.298493,-72.334079,-5
250154002,2,RURAL,3,42.298493,-72.334079,-5
250213003,1,SUBURBAN,2,42.211774,-71.11397,-5
250250002,1,URBAN AND CENTER CITY,1,42.348873,-71.097163,-5
250250041,1,RURAL,3,42.317372,-70.968359,-5
250250042,1,URBAN AND CENTER CITY,1,42.3295,-71.0826,-5
250270023,1,URBAN AND CENTER CITY,1,42.263955,-71.794322,-5
261630019,1,SUBURBAN,2,42.43084,-83.000138,-5
270031002,1,SUBURBAN,2,45.13768,-93.207615,-6
270370020,1,RURAL,3,44.76323,-93.03255,-6
270370423,1,RURAL,3,44.77553,-93.06299,-6
280590006,1,URBAN AND CENTER CITY,1,30.378287,-88.53393,-6
290470005,1,RURAL,3,39.30309,-94.376623,-6
290770036,1,SUBURBAN,2,37.256136,-93.299886,-6
290950034,1,URBAN AND CENTER CITY,1,39.104758,-94.570796,-6
291831002,1,RURAL,3,38.872546,-90.226488,-6
291860005,1,RURAL,3,37.90084,-90.42388,-6
291890004,1,SUBURBAN,2,38.53278,-90.38243,-6
291890014,1,RURAL,3,38.7109,-90.4759,-6
291893001,1,SUBURBAN,2,38.650259,-90.350463,-6
301110086,1,RURAL,3,45.942631,-108.35096,-7
320030022,1,RURAL,3,36.391007,-114.907406,-8
320030023,1,RURAL,3,36.807913,-114.060879,-8
320030073,1,SUBURBAN,2,36.173416,-115.332714,-8
320030539,1,SUBURBAN,2,36.144444,-115.085556,-8
320032002,1,URBAN AND CENTER CITY,1,36.19126,-115.12293,-8
320310016,1,URBAN AND CENTER CITY,1,39.525083,-119.807717,-8
330111011,1,SUBURBAN,2,42.718664,-71.522427,-5
330115001,1,RURAL,3,42.86175,-71.878389,-5
340070003,2,SUBURBAN,2,39.923042,-75.097617,-5
340210005,1,SUBURBAN,2,40.283092,-74.742644,-5
340230011,1,RURAL,3,40.462182,-74.429439,-5
340273001,1,RURAL,3,40.787628,-74.676301,-5
350010023,1,URBAN AND CENTER CITY,1,35.1343,-106.5852,-7
350010024,1,SUBURBAN,2,35.0631,-106.578785,-7
350130021,1,SUBURBAN,2,31.796111,-106.583889,-7
